Time,X,Y,Z,X_f,Y_f,Z_f
3002645,32,64,64,-25.849033,12.145277,-52.598858
3002743,-64,96,96,-25.972031,12.371145,-51.784473
3002889,-64,32,64,-26.094332,12.423964,-51.15152
3002986,-32,32,-32,-26.113277,12.476519,-51.047153
3003084,128,64,64,-25.620377,12.614525,-50.42337
3003181,-96,-96,64,-25.845444,12.324079,-49.804901
3003328,0,-64,-160,-25.762939,12.120084,-50.398663
3003425,64,-64,0,-25.477163,11.916867,-50.127964
3003523,32,-32,32,-25.29443,11.799758,-49.688759
3003620,-32,64,128,-25.315704,11.938707,-48.742023
3003718,0,32,0,-25.235626,11.992022,-48.482788
3004010,64,64,-32,-25.076683,12.013341,-48.309109
3004108,128,0,-64,-24.595558,11.981594,-48.391384
3004205,96,64,-64,-24.216557,12.118731,-48.472824
3004303,64,0,-32,-23.939518,12.086833,-48.387291
3004400,0,-64,-32,-23.864441,11.887042,-48.302616
3004498,-32,-128,-32,-23.889887,11.520129,-48.218784
3004595,-32,64,0,-23.915178,11.657803,-47.972019
3004693,-32,96,32,-23.940317,11.878715,-47.564445
3004790,32,32,-32,-23.76689,11.931368,-47.485397
3004888,0,96,-32,-23.693354,12.150871,-47.407124
3004985,96,0,32,-23.32398,12.119175,-47.007652
3005083,64,-32,-32,-23.054688,12.004358,-46.932411
3005180,-64,128,32,-23.180788,12.305709,-46.538548
3005278,32,64,-32,-23.01123,12.43997,-46.466248
3005375,96,0,-32,-22.646255,12.407711,-46.394642
3005473,32,-32,-32,-22.478786,12.292825,-46.323723
3005570,0,32,0,-22.410034,12.343722,-46.09655
3005668,64,64,-32,-22.146431,12.476844,-46.027695
3005765,-64,-32,32,-22.273941,12.362401,-45.648308
3005863,128,64,64,-21.817131,12.495046,-45.116928
3006009,-32,64,64,-21.848083,12.627147,-44.589527
3006106,0,64,-32,-21.781858,12.758706,-44.528839
3006204,0,0,96,-21.716005,12.726083,-43.854492
3006301,64,32,32,-21.457531,12.775252,-43.491219
3006399,-64,-64,128,-21.585649,12.579816,-42.672615
3006496,-32,-64,0,-21.616945,12.385074,-42.469196
3006594,32,-32,128,-21.456272,12.272317,-41.65974
3006691,0,0,-64,-21.392097,12.241192,-41.765678
3006789,-64,-32,-128,-21.519209,12.129243,-42.172852
3006886,64,0,0,-21.264624,12.098601,-41.974319
3007033,64,-64,-32,-21.011118,11.906794,-41.927544
3007130,64,0,0,-20.758688,11.876812,-41.731804
3007228,32,-32,-32,-20.602226,11.766582,-41.686543
3007325,-32,-64,0,-20.635963,11.576547,-41.49353
3007423,64,96,32,-20.386127,11.788084,-41.154537
3007520,0,32,-32,-20.326025,11.838687,-41.112442
