,Timestamp,AX,AY,AZ,fAX,fAY,fAZ
0,18:15:17:321,-1984,-1184,-128,10.911464,20.143747,38.438805
3,18:15:21:642,1120,1504,-608,5.466331,39.520996,30.415575
4,18:15:22:408,-2144,-2048,960,-33.58997,1.751053,42.425961
6,18:15:22:720,-3552,-1696,384,-99.028473,-29.657183,46.862812
7,18:15:23:036,-2880,-2720,2880,-153.310471,-80.152374,83.436729
8,18:15:23:130,2432,-2112,-4192,-101.116325,-119.560745,25.901129
9,18:15:23:483,6112,768,-3584,28.061602,-102.001076,-26.072914
10,18:15:23:621,896,1760,-160,47.886032,-65.248985,-28.108932
11,18:15:23:726,320,-6240,4800,54.065632,-189.128448,44.381699
12,18:15:23:800,4928,0,8128,162.868805,-184.959488,175.315506
13,18:15:23:893,3136,4704,-8288,233.967285,-79.126205,19.009953
14,18:15:23:980,-1248,1024,5248,197.34845,-53.519943,129.541565
15,18:15:24:070,6912,-288,160,363.94397,-58.953964,130.236511
16,18:15:24:163,11264,6656,1088,662.303894,93.8358,151.614227
17,18:15:24:252,-2016,-1312,-1216,575.891479,58.464851,121.195686
18,18:15:24:341,4224,4832,-3488,695.821716,178.830734,40.566463
19,18:15:24:444,4256,4544,-11520,817.12207,296.166809,-229.860901
20,18:15:24:520,-3584,1120,1184,662.148499,319.561066,-190.280563
21,18:15:24:609,2592,-1472,-1056,733.356384,269.29895,-214.503967
22,18:15:24:700,6816,1792,-4096,957.853882,312.299316,-321.933258
23,18:15:24:882,4448,32,-2752,1096.594727,304.373383,-392.312988
24,18:15:24:971,-4192,-2496,480,880.861206,226.945831,-366.60199
25,18:15:25:063,160,-3200,3680,849.748779,129.725937,-248.782745
26,18:15:25:197,1952,-704,1344,895.983643,105.196243,-200.184204
27,18:15:25:290,256,2560,-3712,869.675049,176.492569,-307.37439
28,18:15:25:532,-2144,288,-320,749.217712,179.789688,-307.773773
29,18:15:25:601,-1056,-1152,4672,675.824036,141.458649,-155.040558
30,18:15:25:847,13056,-11072,-5760,1176.249878,-180.369629,-337.902832
31,18:15:26:166,-12704,1920,-2816,509.873474,-109.074547,-424.666016
32,18:15:26:232,12096,3808,-2112,1179.455933,24.739237,-484.473206
33,18:15:26:369,6976,-1056,2752,1564.653931,-13.65848,-370.077423
34,18:15:26:660,1664,-4096,1632,1571.512573,-156.645538,-297.464478
35,18:15:26:729,-224,-512,-1536,1455.344604,-169.616882,-342.485138
36,18:15:26:816,32,-1888,32,1365.940674,-230.548126,-329.036407
37,18:15:26:956,-384,-1120,576,1259.753174,-262.016479,-297.434204
38,18:15:27:045,768,-32,-800,1230.69397,-254.021729,-314.687164
39,18:15:27:134,192,-1088,-288,1172.201172,-282.159393,-313.792816
40,18:15:27:220,-800,-1376,1344,1064.994507,-318.435791,-260.009338
41,18:15:27:403,-544,-352,320,978.943604,-319.53598,-241.198792
42,18:15:27:540,-256,32,-96,914.338379,-308.37149,-236.586472
43,18:15:27:874,-576,480,-64,838.511475,-283.938843,-231.258011
44,18:15:28:030,96,-192,-640,801.544128,-281.132935,-243.540619
45,18:15:28:123,-640,-640,-928,732.211426,-291.779877,-263.66687
46,18:15:28:255,224,1056,-544,708.24939,-252.675156,-271.780945
47,18:15:28:349,608,-736,-128,703.691711,-266.659729,-267.714325
48,18:15:28:435,1632,96,192,744.138,-256.365784,-255.034302
49,18:15:28:528,-640,0,-1120,685.321777,-249.239899,-278.459412
50,18:15:28:660,480,672,-448,676.730652,-224.201538,-283.005127
51,18:15:28:842,-1024,-832,-352,608.157288,-240.572113,-284.812653
52,18:15:28:933,-1216,-352,-224,535.149353,-243.529205,-283.258057
53,18:15:29:023,384,992,1952,529.128967,-211.518875,-227.475128
54,18:15:29:111,-928,-768,-352,473.151459,-225.910492,-230.639191
55,18:15:29:336,192,128,832,462.458649,-216.891693,-204.243576
56,18:15:29:969,320,96,160,457.210876,-209.062668,-195.232193
57,18:15:30:055,1504,1216,352,494.503845,-174.063538,-181.92662
58,18:15:30:190,192,-192,-96,483.887329,-174.505447,-179.865173
59,18:15:30:507,384,768,-864,480.480804,-151.835007,-195.920425
60,18:15:30:602,-5184,544,-1504,293.311401,-135.190231,-226.315353
61,18:15:31:269,-512,-384,-1440,264.738281,-141.081833,-254.580719
62,18:15:31:493,-1216,-256,1920,213.211914,-143.752975,-203.916397
63,18:15:31:583,-96,480,-704,202.516571,-129.552063,-215.785721
64,18:15:31:723,-32,-384,-1376,194.629211,-135.285156,-242.947342
65,18:15:31:946,96,-608,512,191.405441,-145.753281,-225.286316
67,18:15:32:169,672,288,-1152,206.645874,-136.269135,-246.782471
68,18:15:32:576,992,768,128,231.010056,-116.755875,-238.132217
69,18:15:33:166,64,672,-192,225.908249,-99.799965,-237.083847
70,18:15:33:300,704,1280,1280,240.125946,-70.314301,-203.343353
71,18:15:33:396,-1504,-1504,224,189.288696,-101.120461,-193.770081
72,18:15:33:479,224,-320,-864,190.305084,-105.853844,-208.578217
73,18:15:33:616,-1600,0,-416,139.339798,-103.603554,-213.120743
74,18:15:33:788,480,-288,768,149.097031,-107.44989,-192.009384
75,18:15:34:643,576,1216,768,161.062683,-80.310333,-171.399139
76,18:15:35:048,-768,544,-2144,135.521652,-67.43985,-213.637421
77,18:15:35:454,1152,608,896,163.209747,-53.6297,-189.477676
78,18:15:36:085,-96,32,640,156.200348,-51.891273,-171.418869
79,18:15:36:582,-640,-224,480,135.131027,-55.32159,-157.313538
80,18:15:36:939,-2304,-768,-1024,71.27478,-69.295479,-175.91655
81,18:15:37:572,-320,-608,-736,60.81863,-79.79982,-187.885498
84,18:15:37:750,320,-160,-896,60.201271,-74.963997,-195.448273
85,18:15:37:840,960,-544,-32,82.8619,-83.763672,-192.062378
86,18:15:37:975,-704,384,96,63.193123,-75.070175,-186.197433
89,18:15:38:067,-672,128,352,44.98888,-71.33091,-175.397751
90,18:15:38:382,160,-224,-544,47.807739,-74.102287,-182.725266
91,18:15:38:470,64,320,-384,48.19598,-67.054688,-186.676804
92,18:15:38:606,64,480,256,48.566154,-57.36935,-178.119614
93,18:15:38:693,0,1504,-896,47.454292,-29.915003,-191.851715
94,18:15:38:829,672,-160,-416,61.445774,-32.231773,-196.118149
95,18:15:38:967,832,192,-448,78.536201,-28.298132,-200.843613
96,18:15:39:055,-384,-672,1440,68.348763,-39.444656,-170.477829
97,18:15:39:144,-512,-32,-96,55.728764,-39.316334,-169.080994
98,18:15:39:385,-160,-256,128,51.08532,-42.988537,-163.603806
99,18:15:39:504,-448,-576,-128,40.524727,-51.908955,-162.955505
100,18:15:39:593,-672,608,64,25.615902,-40.932716,-158.894043
