Time,X,Y,Z,X_f,Y_f,Z_f
2918276,0,-32,0,1.068721,-0.504631,-0.231132
2918374,0,64,64,1.067315,-0.442127,-0.089711
2918471,64,-32,32,1.150048,-0.472716,-0.019123
2918569,-32,160,-96,1.10647,-0.317224,-0.229926
2918666,-32,-32,0,1.062978,-0.347992,-0.229421
2918764,32,32,0,1.103594,-0.316589,-0.228919
2918861,64,-64,-32,1.18611,-0.378393,-0.298374
2918959,-96,0,-32,1.058615,-0.378025,-0.36757
2919056,0,96,0,1.057225,-0.284554,-0.366769
2919154,-32,-64,64,1.013887,-0.346407,-0.226795
2919251,32,64,-32,1.054484,-0.283922,-0.295828
2919349,32,32,0,1.094999,-0.252563,-0.295187
2919446,704,1120,-384,2.014637,0.83526,-1.125783
2919544,-224,-160,64,1.715173,0.67574,-0.984034
2919641,-320,-192,96,1.287552,0.484215,-0.773129
2919739,-32,96,64,1.243081,0.579431,-0.632305
2919836,32,-192,96,1.284143,0.387282,-0.4224
2919934,160,-160,32,1.495887,0.226797,-0.351989
2920031,-96,-32,96,1.365579,0.194479,-0.143062
2920129,96,-32,64,1.492139,0.162206,-0.00401
2920226,32,0,64,1.532962,0.162043,0.134617
2920324,32,-32,64,1.5737,0.129846,0.272822
2920421,-64,-96,0,1.486084,0.033646,0.272232
2920519,-32,32,0,1.441342,0.065665,0.271645
2920616,64,128,-32,1.524872,0.193764,0.202171
2920714,-96,-128,32,1.394665,0.065206,0.270522
2920811,-64,0,32,1.307302,0.06514,0.338623
2920909,-224,-288,32,1.006316,-0.223905,0.406475
2921006,-192,32,160,0.747665,-0.191418,0.747978
2921104,-224,0,160,0.445721,-0.191225,1.089106
2921201,160,128,-160,0.660753,-0.062163,0.743686
2921299,-32,-160,-160,0.616655,-0.223437,0.398639
2921396,-128,96,96,0.443121,-0.126198,0.604071
2921494,-32,-64,160,0.399294,-0.190805,0.946505
2921591,160,-32,-96,0.614744,-0.222987,0.738018
2921689,32,0,128,0.65719,-0.222762,1.011641
2921786,-32,0,96,0.613056,-0.222537,1.215952
2921884,-64,-32,0,0.525797,-0.254611,1.213338
2921981,224,192,32,0.827577,-0.060635,1.2794
2922079,-128,-192,0,0.653067,-0.25484,1.276659
2922176,-64,-64,0,0.565381,-0.31952,1.273929
2922300,0,32,0,0.650526,-0.318851,1.200377
2922469,-96,96,160,0.519639,-0.221168,1.537966
2922566,-64,-96,-32,0.432215,-0.318392,1.466594
2922664,-32,-64,32,0.388272,-0.383092,1.531478
2922761,-32,-128,96,0.34442,-0.512783,1.731919
2922859,96,256,96,0.473842,-0.251702,1.931889
2922956,64,-96,-64,0.559841,-0.349555,1.792062
2923054,-64,64,96,0.47245,-0.283732,1.991695
2923152,-256,-64,-32,0.125302,-0.348925,1.919682
2923249,-32,0,0,0.081655,-0.348568,1.915621
2923347,-64,0,320,-0.005347,-0.348211,2.587141
2923444,224,192,-64,0.298755,-0.151757,2.445971
2923542,0,-96,0,0.298348,-0.249927,2.44079
2923639,64,96,96,0.384979,-0.151258,2.638576
